lat,lon,alt,height,heading,pitch,roll,time,co2,tvoc,pm25,pm10,temperature,humidity
24.8074662688802,121.04205283046551,51.91155250810486,0,-133.5,0,0,20210518105246,785,214,32,39,33.3,64.3
24.80746647580991,121.0420530006716,51.911552508104876,0,-133.5,0,0,20210518105247,0,0,0,0,0,0
24.80746649857028,121.04205327756131,51.91155250810486,0,-133.5,0,0,20210518105248,754,197,32,39,33.3,63.8
24.80746678688202,121.0420532432347,51.911552508104876,0,-133.5,0,0,20210518105249,0,0,0,0,0,0
24.80746688240049,121.04205334226766,51.91155250810486,0,-133.5,0,0,20210518105250,743,191,32,39,33.3,63.6
24.807466964112443,121.0420534551231,51.911552508104876,0,-133.5,0,0,20210518105251,0,0,0,0,0,0
24.807466719516814,121.0420534154736,51.911552508104876,0,-133.5,0,0,20210518105252,740,189,31,38,33.3,63.4
24.80746651772491,121.04205331124061,51.911552508104876,0,-133.5,0,0,20210518105253,0,0,0,0,0,0
24.80746626053734,121.04205356930422,51.91155250810486,0,-133.5,0,0,20210518105254,727,182,31,38,33.3,63.4
24.807466167825137,121.042053496311,51.911552508104876,0,-133.5,0,0,20210518105255,0,0,0,0,0,0
24.80746608152859,121.0420535843964,51.911552508104876,0,-133.5,0,0,20210518105256,724,180,32,39,33.3,63.3
24.80746588100967,121.04205401969901,51.90155250794065,-0.0100000001642116,-131.35,0,0,20210518105257,0,0,0,0,0,0
24.807465256566932,121.04205496922603,51.831552506791134,-0.08000000131369281,-132.91,0,0,20210518105258,727,182,32,39,33.3,63.3
24.807464814620143,121.04205603843957,51.75599694999483,-0.1555555581099584,-133.1,0,0,20210518105259,0,0,0,0,0,0
24.807464196530667,121.042057279103,51.86155250728373,-0.05000000082105803,-133.13,0,0,20210518105300,733,185,33,41,33.3,63.3
24.807463115116413,121.0420590787021,52.65155251876625,0.7400000106615434,-152.07,0,0,20210518105301,0,0,0,0,0,0
24.807459305242656,121.04206010985746,52.70044140084178,0.7888888927370955,172.5,0,0,20210518105302,731,184,33,41,33.3,63.3
24.807454667552868,121.04206390876682,52.88155250242665,0.9699999943218426,163.1,0,0,20210518105303,0,0,0,0,0,0
24.807443222563787,121.0420710456204,53.161552510004725,1.2500000019,154.28,0,0,20210518105304,709,172,33,41,33.2,63.1
24.807441007796264,121.04207435361498,53.9415525183429,2.0300000102381577,151.03,0,0,20210518105305,0,0,0,0,0,0
24.80744053702578,121.04207461993444,54.867108031065335,2.9555555229606614,150.12222222222226,0,0,20210518105306,655,142,33,41,32.7,63.3
24.807440726318596,121.04207399628301,55.01155241744922,3.099999909344561,149.7,0,0,20210518105307,0,0,0,0,0,0
24.8074420660311,121.04207394273755,54.967108015322836,3.0555555072180898,149.4666666666667,0,0,20210518105308,580,100,34,42,32.4,63.9
24.80744331435274,121.0420729341088,54.941552484100164,3.0299999759953686,149.27000000000004,0,0,20210518105309,0,0,0,0,0,0
24.807443574565163,121.0420719418722,54.941552484100164,3.0299999759953677,149.13999999999996,0,0,20210518105310,504,58,34,42,32.3,64.6
24.807443369864945,121.04207137792567,54.91155251266486,3.00000000456,149.1,0,0,20210518105311,0,0,0,0,0,0
24.80744331600903,121.042070877843,55.011552512816735,3.1000000047119944,149.02,0,0,20210518105312,441,23,34,42,32.2,65
24.80744298596976,121.04207086642597,55.17155255120688,3.26000004310217,148.94000000000003,0,0,20210518105313,0,0,0,0,0,0
24.80744267071776,121.0420704367709,55.33155258959714,3.4200000814923515,148.88,0,0,20210518105314,421,12,35,43,32.1,65.4
24.80744274182377,121.04206968915943,55.4004414128932,3.4888889047883826,148.79999999999998,0,0,20210518105315,0,0,0,0,0,0
24.807443346924963,121.04206929985742,55.511552418209206,3.59999991010456,148.79999999999998,0,0,20210518105316,423,13,35,43,32,65.8
24.80744319282807,121.04206955858919,55.521552432529525,3.609999924424874,148.79999999999998,0,0,20210518105317,0,0,0,0,0,0
24.80744316712732,121.0420700707964,55.54155246117016,3.629999953065503,148.79999999999998,0,0,20210518105318,425,14,35,43,31.8,66.2
24.807443192939548,121.04207032324518,55.551552475490475,3.639999967385817,148.75000000000003,0,0,20210518105319,0,0,0,0,0,0
24.80744330199304,121.04207064342167,55.43377471448806,3.5222222063832365,148.70000000000002,0,0,20210518105320,427,15,35,43,31.5,66.8
24.807443423120866,121.04207072715644,55.422663613956466,3.5111111058516187,141.01111111111112,0,0,20210518105321,0,0,0,0,0,0
24.80744380339393,121.04207033790631,55.391552532467905,3.4800000243630884,81.9,0,0,20210518105322,428,16,35,43,31.4,67.5
24.807443602675175,121.0420698817622,55.4015525229464,3.490000014841545,49.160000000000004,0,0,20210518105323,0,0,0,0,0,0
24.807445468908032,121.04207145994948,55.41155251342487,3.500000005320001,43.66,0,0,20210518105324,430,17,34,42,31.3,68.1
24.807446975690677,121.04207239756667,55.41155251342487,3.500000005320001,43.27777777777777,0,0,20210518105325,0,0,0,0,0,0
24.80744165304821,121.0420658090256,55.461552465817036,3.5499999577122803,49.11,0,0,20210518105326,418,10,34,42,31.1,68.5
24.807442942834808,121.04206537170539,55.41155251342487,3.500000005320001,71.82,0,0,20210518105327,0,0,0,0,0,0
24.807446814319164,121.04206419306472,55.4515524753386,3.5399999672338245,73.21999999999998,0,0,20210518105328,419,11,33,41,31,69
24.80743927933314,121.04206617752274,55.41155251342487,3.500000005320001,73.63749999999999,0,0,20210518105329,0,0,0,0,0,0
24.80743747930197,121.04206721993671,55.44155248486017,3.529999976755369,105.76999999999998,0,0,20210518105330,421,12,32,39,30.9,69.5
